Train_size;Center_size;Kernel;Points_distribution;Best_epoch;Linf_Loss;Poly_degree;Trained_shapes;Trained_centers;Starting_shape;Trained_coefficients
15;5;gaussian_kernel;Equi;49415;5.5186450481414795e-05;-1;7.411332427333301e-24, 0.4731709659099579, 0.670508086681366, -3.9092062495626423e-38, 0.6803516149520874;1.6417350769042969, 0.5335267782211304, -0.33871811628341675, 0.33792078495025635, 1.3589986562728882;1;
15;5;gaussian_kernel;Equi;24950;0.0005617141723632812;-1;0.20992423593997955, -5.458397824156282e-29, 0.20992480218410492, 0.2099250853061676, -1.5414283107572988e-43;0.4999939799308777, 0.5677292943000793, 0.4999956786632538, 0.49999579787254333, 0.5535436272621155;1;
15;5;gaussian_kernel;Equi;49294;1.0181218385696411e-05;-1;1.4243348836898804, 5.622154759972464e-13, 1.427025318145752, 0.8264524936676025, 0.840792179107666;1.409956932067871, 0.4952143132686615, -0.41038331389427185, 0.5004659295082092, 0.49787095189094543;1;
15;5;gaussian_kernel;Equi;46575;5.023181438446045e-05;-1;0.6868853569030762, -0.005666456650942564, 1.262994649921197e-38, 0.6581067442893982, 0.46951478719711304;-0.36471688747406006, 1.1421282291412354, -0.18271324038505554, 1.3072876930236816, 0.35186493396759033;1;
15;5;gaussian_kernel;Equi;40420;5.7080640544882044e-05;-1;0.6836839914321899, 0.6657176613807678, 1.217996430540101e-25, -8.015427215937954e-43, 0.4691200852394104;1.369045376777649, -0.33181387186050415, 1.1166599988937378, -0.1749143898487091, 0.5578048229217529;1;
15;5;gaussian_kernel;Equi;48620;9.257346391677856e-06;-1;1.3001083135604858, 0.7919865250587463, 1.2549599409103394, 1.3381465673446655, 3.625444389143695e-10;-0.34139665961265564, 0.5323094129562378, 0.5167144536972046, 1.3555147647857666, 1.0902291536331177;1;
15;5;gaussian_kernel;Equi;49515;5.8047473430633545e-05;-1;0.6851384043693542, 0.4701589047908783, -1.363463405788047e-42, 0.6653412580490112, -3.500443563883393e-42;-0.37128114700317383, 0.4354156255722046, -0.1459372490644455, 1.3315680027008057, 1.2485384941101074;1;
15;5;gaussian_kernel;Equi;48101;7.5511634349823e-06;-1;1.361308217048645, -3.538832777308692e-29, 1.2609562873840332, 0.8675957322120667, 0.9687115550041199;2.1883177757263184, 0.5513248443603516, -1.287858486175537, 0.5359256267547607, -0.402459055185318;1;
15;5;gaussian_kernel;Equi;37360;5.0790607929229736e-05;-1;0.6755648851394653, -6.389920997321166e-43, 0.6741026639938354, -1.8608157364505577e-35, 0.4723722040653229;-0.35732975602149963, 1.5575165748596191, 1.3542613983154297, -0.4436452090740204, 0.49573367834091187;1;
15;5;gaussian_kernel;Equi;45973;1.138448715209961e-05;-1;-2.1533945737672866e-09, 1.4306589365005493, 1.087502360343933, 0.8113576769828796, 1.3277316093444824;0.13501377403736115, 1.4047452211380005, 0.5242180824279785, 0.5714666843414307, -0.3824501633644104;1;
15;5;gaussian_kernel;Equi;49808;5.3569674491882324e-05;-1;0.473276823759079, 0.6706480979919434, -1.2758329077971623e-19, -3.230540460208431e-05, 0.6756278872489929;0.514371395111084, -0.34947633743286133, 1.4291108846664429, -0.08374294638633728, 1.3587945699691772;1;
15;5;gaussian_kernel;Equi;11564;0.0005669519305229187;-1;0.2213909924030304, 0.22138722240924835, 0.22138813138008118, 0.2213887721300125, 1.401298464324817e-45;0.5000315308570862, 0.5000147223472595, 0.5000202655792236, 0.5000224113464355, 0.47535890340805054;1;
15;5;gaussian_kernel;Equi;30543;0.0005529504269361496;-1;0.20948444306850433, -1.6803482977207894e-30, -7.006492321624085e-45, 9.80908925027372e-45, 0.20948506891727448;0.5000016689300537, 0.3302035331726074, 0.3710610568523407, 0.4591263234615326, 0.5000049471855164;1;
15;5;gaussian_kernel;Equi;47766;5.5142343626357615e-05;-1;0.6662256121635437, 0.6838964819908142, -1.7670373635135943e-42, 0.4708375930786133, -1.3002444062681165e-35;1.3323700428009033, -0.36797401309013367, -0.19326312839984894, 0.44016122817993164, 1.0722442865371704;1;
15;5;gaussian_kernel;Equi;46221;5.328893894329667e-05;-1;0.6965367197990417, -8.754711149706329e-26, 3.0638129753844233e-40, 0.4680301547050476, 0.6579620838165283;1.3809512853622437, 0.6538366675376892, 0.6227890253067017, 0.6430172324180603, -0.3107031583786011;1;
15;5;gaussian_kernel;Equi;48769;9.499490261077881e-06;-1;1.4320073127746582, 2.8085256875664413e-20, 0.8029369711875916, 1.4207687377929688, 0.8439131379127502;1.4122012853622437, 0.5001242160797119, 0.508277416229248, -0.41145989298820496, 0.49857789278030396;1;
15;5;gaussian_kernel;Equi;49541;5.410040830611251e-05;-1;0.6761792898178101, 0.6700834631919861, 0.4710536599159241, -4.848492686563867e-43, -5.101888863410469e-22;-0.3591468632221222, 1.3463213443756104, 0.48011624813079834, 1.508984923362732, -0.28140732645988464;1;
15;5;gaussian_kernel;Equi;49530;9.588897228240967e-06;-1;0.80112624168396, -8.028150544138692e-21, 1.4397939443588257, 1.4345126152038574, 0.7891225814819336;0.5050677061080933, 0.10828033089637756, 1.4115873575210571, -0.4112327992916107, 0.49740079045295715;1;
15;5;gaussian_kernel;Equi;38265;5.1371753215789795e-05;-1;0.47367191314697266, 0.6696587800979614, 7.917336323435216e-43, 0.683266818523407, 5.311346726108703e-37;0.5456271171569824, -0.3348756730556488, -0.10575594007968903, 1.3626563549041748, -0.05515711382031441;1;
15;5;gaussian_kernel;Equi;48366;9.749084711074829e-06;-1;1.4390356540679932, -1.332118645071419e-23, 0.803041398525238, 1.4375262260437012, 0.7954408526420593;1.411017894744873, 0.6403427124023438, 0.5023093819618225, -0.4108816385269165, 0.49816757440567017;1;
